Created,ID,Applicant,Job title,Stage type,Stage name,Reject reason,Rejected at,Hired at,Referring site
2023-03-15T17:12:25.358Z,50885410,GRACE WILSON,Dental Patient Relations Manager,interview,Offered Zoom Interview,Unresponsive,2023-03-28T14:22:11.776Z,,Indeed Direct Apply
2023-03-16T13:03:32.926Z,50957164,CHARLIE BROWN,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:39:42.378Z,,Indeed Direct Apply
2023-03-16T14:21:47.922Z,50965416,ALICE BROWN,Dental Billing Coordinator,interview,Invite for Zoom Interview,Unresponsive,2023-04-04T15:43:40.279Z,,Indeed Direct Apply
2023-03-16T17:16:10.866Z,50982670,FRANK MOORE,Dental Receptionist,screening,Reviewing,Other reasons,2023-04-03T13:43:34.143Z,,Google_jobs_apply
2023-03-17T01:35:40.640Z,51008351,ETHAN MILLER,Dental Business Operations Manager,interview,Zoom Interview,No show,2023-03-30T19:03:11.180Z,,Indeed Direct Apply
2023-03-17T15:09:55.179Z,51054407,GRACE DAVIS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,More qualified candidate selected,2023-03-22T12:46:08.848Z,,ZipRecruiter United States
2023-03-17T16:46:06.307Z,51062190,FRANK SMITH,Dental Patient Relations Manager,screening,Reviewing,Commute & location,2023-03-21T14:36:41.642Z,,Indeed Direct Apply
2023-03-17T18:58:22.628Z,51070322,DIANA BROWN,Dental Patient Relations Manager,screening,Reject,No show,2023-03-30T19:03:32.507Z,,Indeed Direct Apply
2023-03-17T22:29:42.647Z,51079587,DIANA SMITH,Dental Billing Coordinator,screening,Reviewing,Commute & location,2023-03-21T14:35:41.173Z,,Indeed Direct Apply
2023-03-17T23:00:09.947Z,51080486,FRANK BROWN,Dental Patient Relations Manager,interview,Offered Zoom Interview,No show,2023-04-03T12:24:34.297Z,,Indeed Direct Apply
2023-03-18T02:40:18.427Z,51085006,JANE SMITH,Dental Business Operations Manager,screening,Reject,More qualified candidate selected,2023-03-21T14:39:21.328Z,,Indeed Direct Apply
2023-03-18T13:10:28.773Z,51100812,DIANA DAVIS,Treatment Coordinator,inbox,Inbox,Other reasons,2023-03-23T08:23:28.433Z,,Indeed Direct Apply
2023-03-18T13:13:47.940Z,51100942,JOHN WILLIAMS,Dentist,inbox,Inbox,Lacking relevant experience,2023-03-24T11:40:06.489Z,,Indeed Direct Apply
2023-03-18T15:47:15.617Z,51107079,JOHN MILLER,Dental Assistant - Brooklyn,interview,Virtual Interview,Other reasons,2023-03-30T16:01:17.600Z,,Indeed Direct Apply
2023-03-19T07:12:57.055Z,51127907,BOB MOORE,Treatment Coordinator/Foreign Dentists,screening,Reviewing,Commute & location,2023-03-30T15:33:04.477Z,,Indeed Direct Apply
2023-03-19T16:28:59.737Z,51151028,EMMA WILLIAMS,Dental Business Operations Manager,screening,Reject,More qualified candidate selected,2023-03-21T14:39:51.609Z,,Indeed Direct Apply
2023-03-19T17:46:39.917Z,51155180,GRACE MOORE,Treatment Coordinator - Hygienist Background,screening,Reviewing,Lacking relevant experience,2023-05-08T14:16:58.106Z,,Indeed Direct Apply
2023-03-19T20:06:36.995Z,51163054,FRANK DAVIS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Lacking relevant experience,2023-03-21T13:56:41.161Z,,Indeed Direct Apply
2023-03-19T22:40:46.222Z,51170613,BOB JONES,Dental Billing Coordinator,interview,Invite for Zoom Interview,Unresponsive,2023-04-04T15:43:54.266Z,,Indeed Direct Apply
2023-03-20T02:02:26.863Z,51175546,GRACE MILLER,Treatment Coordinator/Foreign Dentists,screening,Reviewing,Lacking relevant experience,2023-05-30T15:49:45.213Z,,Indeed Direct Apply
2023-03-20T17:11:28.696Z,51242335,GRACE BROWN,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:38:21.104Z,,
2023-03-20T19:48:27.921Z,51254693,DIANA JONES,Dental Assistant - Brooklyn,inbox,Inbox,Unresponsive,2023-03-24T13:39:10.496Z,,Indeed Direct Apply
2023-03-20T22:34:35.049Z,51265373,ALICE TAYLOR,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,More qualified candidate selected,2023-03-22T12:46:27.302Z,,Indeed Direct Apply
2023-03-20T23:47:24.683Z,51268157,FRANK JOHNSON,Foreign Trained Dentist for Treatment Plan Supervisor,screening,Reviewing,Never Responded,2023-06-05T20:34:16.302Z,,Indeed Direct Apply
2023-03-21T14:16:39.573Z,51328447,EMMA WILSON,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-30T16:06:14.181Z,,Indeed Direct Apply
2023-03-21T17:23:58.200Z,51347171,CHARLIE BROWN,Dental Business Operations Manager,inbox,Inbox,More qualified candidate selected,2023-03-22T13:21:57.814Z,,
2023-03-21T18:10:15.689Z,51350908,JANE SMITH,Weekend Dental Assistant,interview,Virtual Interview,Other reasons,2023-03-30T17:05:05.251Z,,Indeed Direct Apply
2023-03-22T01:45:49.117Z,51375011,JANE WILSON,"Orthodontist - Brooklyn, NY",screening,Reject,Pipeline,2023-05-30T15:42:23.820Z,,Indeed Direct Apply
2023-03-22T13:42:58.703Z,51420252,BOB WILSON,Dental Patient Relations Manager,inbox,Inbox,More qualified candidate selected,2023-03-22T14:10:48.560Z,,Indeed Direct Apply
2023-03-22T19:56:12.700Z,51456007,GRACE DAVIS,Dental Patient Relations Manager,hired,Hired,,,2023-04-03T12:42:01.647Z,Indeed Direct Apply
2023-03-23T00:37:09.484Z,51471441,FRANK WILSON,Orthodontic Dental Assistant - Brooklyn,screening,Reviewing,Position Filled,2023-05-08T14:07:48.243Z,,Indeed Direct Apply
2023-03-23T03:49:57.123Z,51476018,JANE TAYLOR,Dental Assistant - Brooklyn,inbox,Inbox,Lacking relevant experience,2023-03-24T13:37:46.743Z,,Indeed Direct Apply
2023-03-23T20:47:19.067Z,51557627,FRANK MOORE,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-30T16:05:59.930Z,,Indeed Direct Apply
2023-03-23T22:11:46.780Z,51562215,BOB TAYLOR,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-03-30T15:36:48.004Z,,Indeed Direct Apply
2023-03-24T01:06:58.759Z,51567875,GRACE SMITH,Weekend Dental Assistant,inbox,Inbox,Other reasons,2023-03-24T12:52:12.212Z,,Monster United States
2023-03-24T16:07:41.649Z,51619706,ALICE WILSON,Orthodontic Dental Assistant - Brooklyn,screening,Reviewing,Position Filled,2023-05-08T14:07:15.189Z,,Indeed Direct Apply
2023-03-24T17:32:11.893Z,51625360,FRANK MOORE,Dental Patient Relations Manager,screening,Reject,No show,2023-03-30T19:03:49.815Z,,Indeed Direct Apply
2023-03-24T18:35:38.243Z,51628904,ETHAN MILLER,Dental Patient Relations Manager,interview,Offered Zoom Interview,Unresponsive,2023-03-31T13:14:04.334Z,,Indeed Direct Apply
2023-03-24T22:04:15.660Z,51638253,BOB JONES,Dental Business Operations Manager,interview,Zoom Interview,Unresponsive,2023-04-04T15:45:23.324Z,,Indeed Direct Apply
2023-03-24T22:45:12.303Z,51639640,BOB DAVIS,Dental Patient Relations Manager,screening,Reject,No show,2023-03-30T19:03:41.778Z,,Indeed Direct Apply
2023-03-25T05:59:07.212Z,51647148,JOHN JOHNSON,Weekend Dental Assistant,screening,Reviewing,Unresponsive,2023-04-11T13:18:25.045Z,,Indeed Direct Apply
2023-03-25T20:47:32.976Z,51678850,JANE WILLIAMS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-03-30T15:46:22.429Z,,ZipRecruiter United States
2023-03-25T23:11:28.923Z,51682926,DIANA DAVIS,Orthodontic Assistant,screening,Reviewing,Unresponsive,2023-04-11T13:16:55.398Z,,Indeed Direct Apply
2023-03-26T00:59:39.707Z,51684998,JOHN JONES,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-30T16:05:40.488Z,,Indeed Direct Apply
2023-03-26T10:46:37.756Z,51695719,ETHAN TAYLOR,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-03-30T15:45:59.351Z,,Indeed Direct Apply
2023-03-26T20:23:37.390Z,51722792,JANE DAVIS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-03-30T15:45:40.709Z,,ZipRecruiter United States
2023-03-27T13:06:46.052Z,51778325,DIANA TAYLOR,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-03-30T15:45:19.411Z,,ZipRecruiter United States
2023-03-27T15:23:38.779Z,51795040,ETHAN BROWN,Dental Receptionist - Lincoln Family Dental,screening,Reviewing,Other reasons,2023-04-05T15:41:39.030Z,,Indeed Direct Apply
2023-03-27T22:01:20.302Z,51825810,CHARLIE BROWN,"Orthodontist - Brooklyn, NY",screening,Reject,Position Filled,2023-05-30T15:43:13.877Z,,Indeed Direct Apply
2023-03-28T19:46:11.919Z,51928271,JOHN WILLIAMS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-04-03T13:16:50.327Z,,Indeed Direct Apply
2023-03-28T21:07:25.983Z,51934373,FRANK MOORE,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-30T16:04:46.811Z,,Indeed Direct Apply
2023-03-29T16:49:47.535Z,52026909,ALICE DAVIS,Dental Business Operations Manager,interview,Zoom Interview,More qualified candidate selected,2023-04-10T16:34:45.303Z,,Indeed Direct Apply
2023-03-29T18:02:14.000Z,52032988,DIANA BROWN,Dental Receptionist,inbox,Inbox,Other reasons,2023-03-30T16:04:26.703Z,,Google_jobs_apply
2023-03-29T19:59:48.595Z,52042394,JOHN JONES,Dental Patient Relations Manager,interview,Offered Zoom Interview,No show,2023-04-04T15:41:48.305Z,,Indeed Direct Apply
2023-03-30T01:32:33.445Z,52057793,JOHN JONES,Dental Assistant - Brooklyn,inbox,Inbox,Other reasons,2023-03-30T15:55:28.623Z,,Indeed Direct Apply
2023-03-30T01:39:15.718Z,52057938,ALICE JONES,Dental Revenue Cycle Manager,screening,Reviewing,Commute & location,2023-03-30T18:59:13.276Z,,Indeed Direct Apply
2023-03-30T01:59:33.568Z,52058439,JOHN DAVIS,Dental Revenue Cycle Manager,screening,Reviewing,Other reasons,2023-03-30T18:58:56.209Z,,Indeed Direct Apply
2023-03-30T12:02:37.513Z,52097111,EMMA WILSON,Weekend Dental Assistant,hired,Hired,,,2023-04-11T21:18:31.943Z,ZipRecruiter United States
2023-03-30T15:30:53.057Z,52117644,BOB SMITH,Dental Scheduling Manager,screening,Reviewing,Lacking relevant experience,2023-04-10T16:31:59.715Z,,Indeed Direct Apply
2023-03-30T17:28:02.537Z,52127141,BOB JOHNSON,Dental Revenue Cycle Manager,screening,Zoom Interview Offered,No show,2023-04-06T20:39:25.652Z,,Indeed Direct Apply
2023-03-30T17:32:03.561Z,52127415,DIANA WILLIAMS,Dental Revenue Cycle Manager,screening,Zoom Interview Offered,Salary & Benefits,2023-04-21T14:10:24.476Z,,Indeed Direct Apply
2023-03-30T19:28:24.539Z,52135653,BOB TAYLOR,Dental Revenue Cycle Manager,inbox,Inbox,Salary & Benefits not a match,2023-03-31T13:11:39.578Z,,Indeed Direct Apply
2023-03-30T23:46:06.622Z,52149145,JOHN SMITH,Dental Revenue Cycle Manager,screening,Zoom Interview Offered,Unresponsive,2023-04-10T16:33:53.282Z,,Indeed Direct Apply
2023-03-31T00:26:17.028Z,52150241,JOHN TAYLOR,Treatment Coordinator/Foreign Dentists,inbox,Inbox,Lack of flexibility,2023-04-09T23:35:27.234Z,,ZipRecruiter United States
2023-03-31T01:11:01.636Z,52151353,ALICE MILLER,Dental Revenue Cycle Manager,inbox,Inbox,Commute & location,2023-03-31T13:09:35.840Z,,Indeed Direct Apply
2023-03-31T02:08:32.824Z,52152608,BOB MOORE,Treatment Coordinator/Foreign Dentists,inbox,Inbox,Other reasons,2023-04-03T13:24:56.127Z,,ZipRecruiter United States
2023-03-31T03:09:10.214Z,52153849,GRACE SMITH,Dental Scheduling Manager,inbox,Inbox,Lacking relevant experience,2023-03-31T13:08:53.486Z,,Indeed Direct Apply
2023-03-31T17:22:48.589Z,52213602,EMMA SMITH,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-04-03T13:17:15.481Z,,Indeed Direct Apply
2023-04-01T02:09:26.922Z,52237849,ALICE JOHNSON,Dental Assistant - Brooklyn,inbox,Inbox,Other reasons,2023-04-03T13:39:41.106Z,,ZipRecruiter United States
2023-04-02T00:27:25.962Z,52277434,DIANA JOHNSON,Foreign Trained Dentist for Treatment Plan Supervisor,inbox,Inbox,Commute & location,2023-04-26T21:52:09.037Z,,Indeed Direct Apply
2023-04-02T03:17:36.329Z,52279657,ETHAN MOORE,Dental Receptionist,inbox,Inbox,Other reasons,2023-04-03T13:42:43.920Z,,Indeed Direct Apply
2023-04-02T12:23:41.748Z,52293231,GRACE JONES,Orthodontic Dental Assistant - Brooklyn,inbox,Inbox,Commute & location,2023-04-26T21:56:00.873Z,,Indeed Direct Apply
2023-04-02T17:05:39.302Z,52305664,DIANA WILSON,Weekend Dental Assistant,inbox,Inbox,Other reasons,2023-04-03T13:41:33.274Z,,Indeed Direct Apply
2023-04-02T20:45:22.409Z,52315716,FRANK DAVIS,Dental Scheduling Manager,screening,Reviewing,More qualified candidate selected,2023-04-10T16:33:01.713Z,,Indeed Direct Apply
2023-04-02T23:23:27.644Z,52321071,JOHN DAVIS,"Orthodontist - Brooklyn, NY",screening,Reviewing,Took another job,2023-05-12T15:57:27.886Z,,Indeed Direct Apply
2023-04-02T23:45:10.532Z,52321593,JANE JOHNSON,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-04-03T13:16:36.922Z,,Indeed Direct Apply
2023-04-03T03:15:30.119Z,52325269,GRACE WILLIAMS,Treatment Coordinator,inbox,Inbox,Other reasons,2023-04-03T13:30:19.598Z,,Indeed Direct Apply
2023-04-03T11:59:29.152Z,52377132,ALICE JOHNSON,Dental Revenue Cycle Manager,screening,Zoom Interview Offered,Unresponsive,2023-04-10T16:34:06.284Z,,Indeed Direct Apply
2023-04-03T16:01:10.304Z,52409785,JANE TAYLOR,Dental Receptionist,inbox,Inbox,Other reasons,2023-04-03T16:33:55.463Z,,Indeed Direct Apply
2023-04-03T16:45:52.019Z,52413842,GRACE DAVIS,Dental Billing Coordinator,inbox,Inbox,Other reasons,2023-04-04T15:44:57.347Z,,Indeed Direct Apply
2023-04-03T16:49:43.387Z,52414176,BOB WILLIAMS,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Other reasons,2023-04-05T15:40:57.387Z,,ZipRecruiter United States
2023-04-04T00:51:27.727Z,52442055,EMMA JOHNSON,Dental Patient Relations Manager,inbox,Inbox,Lacking relevant experience,2023-04-04T15:42:57.361Z,,Indeed Direct Apply
2023-04-04T00:56:24.104Z,52442177,JANE WILLIAMS,Dental Business Operations Manager,inbox,Inbox,Lacking relevant experience,2023-04-04T15:45:38.794Z,,Indeed Direct Apply
2023-04-04T04:11:23.960Z,52446444,JOHN WILLIAMS,Treatment Coordinator,screening,Reviewing,Lacking relevant experience,2023-05-18T17:12:53.784Z,,Indeed Direct Apply
2023-04-04T12:56:30.049Z,52498617,BOB JOHNSON,Dental Billing Coordinator,screening,Reviewing,More qualified candidate selected,2023-04-21T14:11:26.124Z,,Indeed Direct Apply
2023-04-05T10:45:02.332Z,52578470,DIANA TAYLOR,Dental Assistant - Brooklyn,inbox,Inbox,Other reasons,2023-04-05T17:58:56.721Z,,Indeed Direct Apply
2023-04-05T20:20:38.029Z,52648164,BOB WILLIAMS,Dental Billing Coordinator,interview,Invite for Zoom Interview,Unresponsive,2023-05-03T18:44:38.369Z,,
2023-04-05T23:17:35.646Z,52656437,JOHN DAVIS,Weekend Dental Assistant,inbox,Inbox,Unresponsive,2023-04-11T13:18:09.569Z,,Indeed Direct Apply
2023-04-06T17:33:11.991Z,52718515,ETHAN MILLER,Treatment Coordinator,inbox,Inbox,Lacking relevant experience,2023-04-07T13:56:11.265Z,,Indeed Direct Apply
2023-04-06T22:40:24.944Z,52732702,DIANA JOHNSON,Dental Receptionist - Previous Experience looking for next step,screening,Reviewing,Lacking relevant experience,2023-04-09T23:43:45.833Z,,ZipRecruiter United States
2023-04-07T00:58:10.915Z,52736047,BOB JONES,Dental Receptionist - Previous Experience looking for next step,screening,Reviewing,Lacking relevant experience,2023-04-09T23:29:26.062Z,,Indeed Direct Apply
2023-04-07T02:26:33.192Z,52737548,EMMA BROWN,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Lacking relevant experience,2023-04-07T13:42:08.034Z,,Indeed Direct Apply
2023-04-07T03:03:07.609Z,52739752,FRANK DAVIS,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Lacking relevant experience,2023-04-07T13:41:15.259Z,,Indeed Direct Apply
2023-04-07T12:45:27.832Z,52766473,ALICE WILLIAMS,Dental Office Manager,screening,Could be a good fit in future,,,,Indeed Direct Apply
2023-04-07T13:39:27.200Z,52769882,EMMA DAVIS,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Lacking relevant experience,2023-04-07T13:40:39.707Z,,Indeed Direct Apply
2023-04-07T13:41:54.455Z,52770071,CHARLIE TAYLOR,Dental Assistant - Brooklyn,inbox,Inbox,Lacking relevant experience,2023-04-07T14:13:45.074Z,,Indeed Direct Apply
2023-04-07T15:32:04.557Z,52776168,JOHN TAYLOR,Dental Assistant - looking to take the next step,screening,Reviewing,Lacking relevant experience,2023-04-09T23:28:33.218Z,,ZipRecruiter United States
2023-04-07T16:18:10.013Z,52778638,ALICE TAYLOR,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Scheduling Issues,2023-04-11T13:37:27.466Z,,Indeed Direct Apply
2023-04-07T16:52:23.610Z,52780389,JANE BROWN,Dental Office Manager,inbox,Inbox,Lacking relevant experience,2023-04-09T23:23:52.629Z,,Indeed Direct Apply
2023-04-07T18:04:06.041Z,52783904,DIANA BROWN,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Not a cultural fit,2023-04-09T23:26:21.038Z,,Indeed Direct Apply
2023-04-07T19:22:31.239Z,52787488,EMMA JOHNSON,Dental Receptionist - Previous Experience looking for next step,inbox,Inbox,Lacking relevant experience,2023-04-09T23:25:32.250Z,,Indeed Direct Apply
2023-04-07T23:25:58.598Z,52796089,GRACE WILSON,Dental Receptionist - Lincoln Family Dental,inbox,Inbox,Lacking relevant experience,2023-04-09T23:31:24.210Z,,ZipRecruiter United States
2023-04-07T23:37:36.195Z,52796331,FRANK WILSON,Dental Assistant - looking to take the next step,interview,Interview,Unresponsive,2023-04-14T13:14:00.285Z,,ZipRecruiter United States
2023-04-08T01:23:21.323Z,52798194,EMMA JONES,Dental Receptionist,inbox,Inbox,Lacking relevant experience,2023-04-11T13:20:01.142Z,,Google_jobs_apply
